#node_a node_u csls_score cos_sim
3651 479 -0.000000 0.249303
9572 479 -0.000000 0.249303
2449 479 -0.000000 0.249303
15457 479 -0.000000 0.249303
18778 479 -0.000000 0.249303
23712 479 -0.000000 0.249303
1293 479 -0.000000 0.249303
2621 479 -0.000000 0.249303
2623 479 -0.000000 0.249303
3283 479 -0.000000 0.249303
3812 479 -0.000000 0.249303
3820 479 -0.000000 0.249303
3824 479 -0.000000 0.249303
5131 479 -0.000000 0.249303
6222 479 -0.000000 0.249303
6456 479 -0.000000 0.249303
6525 479 -0.000000 0.249303
6868 479 -0.000000 0.249303
7525 479 -0.000000 0.249303
8448 479 -0.000000 0.249303
9433 479 -0.000000 0.249303
12802 479 -0.000000 0.249303
13482 479 -0.000000 0.249303
13526 479 -0.000000 0.249303
14373 479 -0.000000 0.249303
15148 479 -0.000000 0.249303
17600 479 -0.000000 0.249303
17819 479 -0.000000 0.249303
17823 479 -0.000000 0.249303
17824 479 -0.000000 0.249303
18000 479 -0.000000 0.249303
18444 479 -0.000000 0.249303
22324 479 -0.000000 0.249303
22901 479 -0.000000 0.249303
24474 479 -0.000000 0.249303
24479 479 -0.000000 0.249303
24615 479 -0.000000 0.249303
26039 479 -0.000000 0.249303
2710 479 -0.000000 0.249303
23038 479 -0.000000 0.249303
5210 479 -0.000000 0.249303
8727 479 -0.000000 0.249303
12710 479 -0.000000 0.249303
15245 479 -0.000000 0.249303
19446 479 -0.000000 0.249303
22504 479 -0.000000 0.249303
4364 479 -0.000000 0.249303
7689 479 -0.000000 0.249303
20511 479 -0.000000 0.249303
6264 479 -0.000000 0.249303
6700 479 -0.000000 0.249303
9639 479 -0.000000 0.249303
9755 479 -0.000000 0.249303
1488 479 -0.000000 0.249303
4355 479 -0.000000 0.249303
9313 479 -0.000000 0.249303
14648 479 -0.000000 0.249303
19114 479 -0.000000 0.249303
21178 479 -0.000000 0.249303
10762 479 -0.000000 0.249303
339 479 -0.000000 0.249303
23382 479 -0.000000 0.249303
22457 479 -0.000000 0.249303
231 479 -0.000000 0.249303
14599 479 -0.000000 0.249303
6271 479 -0.000000 0.249303
449 479 -0.000000 0.249303
5052 479 -0.000000 0.249303
1023 479 -0.000000 0.249303
17439 479 -0.000000 0.249303
20716 479 -0.000000 0.249303
7444 479 -0.000000 0.249303
4952 479 -0.000000 0.249303
13142 479 -0.000000 0.249303
9017 479 -0.000000 0.249303
18487 479 -0.000000 0.249303
6774 479 -0.000000 0.249303
5901 479 -0.000000 0.249303
19865 479 -0.000000 0.249303
23614 479 -0.000000 0.249303
13276 479 -0.000000 0.249303
676 479 -0.000000 0.249303
20478 479 -0.000000 0.249303
16389 479 -0.000000 0.249303
7307 479 -0.000000 0.249303
19640 479 -0.000000 0.249303
4743 479 -0.000000 0.249303
22527 479 -0.000000 0.249303
1000 479 -0.000000 0.249303
7007 479 -0.000000 0.249303
14746 479 -0.000000 0.249303
20373 479 -0.000000 0.249303
6583 479 -0.000000 0.249303
9124 479 -0.000000 0.249303
9471 479 -0.000000 0.249303
8823 479 -0.000000 0.249303
2980 479 -0.000000 0.249303
18208 479 -0.000000 0.249303
543 479 -0.000000 0.249303
18396 479 -0.000000 0.249303
1217 479 -0.000000 0.249303
14924 479 -0.000000 0.249303
24559 479 -0.000000 0.249303
25396 479 -0.000000 0.249303
10711 479 -0.000000 0.249303
24057 479 -0.000000 0.249303
9397 479 -0.000000 0.249303
3501 479 -0.000000 0.249303
1563 479 -0.000000 0.249303
2457 479 -0.000000 0.249303
3534 479 -0.000000 0.249303
5065 479 -0.000000 0.249303
6387 479 -0.000000 0.249303
14379 479 -0.000000 0.249303
15562 479 -0.000000 0.249303
15708 479 -0.000000 0.249303
15714 479 -0.000000 0.249303
15805 479 -0.000000 0.249303
17580 479 -0.000000 0.249303
18952 479 -0.000000 0.249303
19677 479 -0.000000 0.249303
24819 479 -0.000000 0.249303
2144 479 -0.000000 0.249303
2774 479 -0.000000 0.249303
3055 479 -0.000000 0.249303
3652 479 -0.000000 0.249303
3655 479 -0.000000 0.249303
3766 479 -0.000000 0.249303
3814 479 -0.000000 0.249303
6388 479 -0.000000 0.249303
7096 479 -0.000000 0.249303
9249 479 -0.000000 0.249303
12051 479 -0.000000 0.249303
12423 479 -0.000000 0.249303
12885 479 -0.000000 0.249303
14808 479 -0.000000 0.249303
15173 479 -0.000000 0.249303
15189 479 -0.000000 0.249303
15999 479 -0.000000 0.249303
18942 479 -0.000000 0.249303
19705 479 -0.000000 0.249303
20250 479 -0.000000 0.249303
21030 479 -0.000000 0.249303
21825 479 -0.000000 0.249303
25108 479 -0.000000 0.249303
18719 479 -0.000000 0.249303
24371 479 -0.000000 0.249303
5621 479 -0.000000 0.249303
11015 479 -0.000000 0.249303
23452 479 -0.000000 0.249303
4846 479 -0.000000 0.249303
24924 479 -0.000000 0.249303
21379 479 -0.000000 0.249303
12545 479 -0.000000 0.249303
25006 479 -0.000000 0.249303
13096 479 -0.000000 0.249303
15108 479 -0.000000 0.249303
24814 479 -0.000000 0.249303
14485 479 -0.000000 0.249303
19870 479 -0.000000 0.249303
11785 479 -0.000000 0.249303
6823 479 -0.000000 0.249303
22177 479 -0.000000 0.249303
9482 479 -0.000000 0.249303
4550 479 -0.000000 0.249303
9184 479 -0.000000 0.249303
23134 479 -0.000000 0.249303
16414 479 -0.000000 0.249303
15145 479 -0.000000 0.249303
17584 479 -0.000000 0.249303
23241 479 -0.000000 0.249303
24616 479 -0.000000 0.249303
15066 479 -0.000000 0.249303
9710 479 -0.000000 0.249303
24696 479 -0.000000 0.249303
20532 479 -0.000000 0.249303
24293 479 -0.000000 0.249303
5346 479 -0.000000 0.249303
21491 479 -0.000000 0.249303
9889 479 -0.000000 0.249303
8116 479 -0.000000 0.249303
13556 479 -0.000000 0.249303
16994 479 -0.000000 0.249303
3877 479 -0.000000 0.249303
4354 479 -0.000000 0.249303
5412 479 -0.000000 0.249303
6544 479 -0.000000 0.249303
7357 479 -0.000000 0.249303
7719 479 -0.000000 0.249303
10477 479 -0.000000 0.249303
11445 479 -0.000000 0.249303
12788 479 -0.000000 0.249303
18185 479 -0.000000 0.249303
19246 479 -0.000000 0.249303
19463 479 -0.000000 0.249303
20780 479 -0.000000 0.249303
21861 479 -0.000000 0.249303
22284 479 -0.000000 0.249303
22741 479 -0.000000 0.249303
23514 479 -0.000000 0.249303
24330 479 -0.000000 0.249303
1588 479 -0.000000 0.249303
22366 479 -0.000000 0.249303
4748 479 -0.000000 0.249303
7350 479 -0.000000 0.249303
4575 479 -0.000000 0.249303
16594 479 -0.000000 0.249303
11275 479 -0.000000 0.249303
13008 479 -0.000000 0.249303
11696 479 -0.000000 0.249303
1958 479 -0.000000 0.249303
4416 479 -0.000000 0.249303
17075 479 -0.000000 0.249303
15300 479 -0.000000 0.249303
11372 479 -0.000000 0.249303
4639 479 -0.000000 0.249303
24617 479 -0.000000 0.249303
25034 479 -0.000000 0.249303
16469 479 -0.000000 0.249303
3843 479 -0.000000 0.249303
7712 479 -0.000000 0.249303
22598 479 -0.000000 0.249303
16148 479 -0.000000 0.249303
7442 479 -0.000000 0.249303
4241 479 -0.000000 0.249303
17385 479 -0.000000 0.249303
21432 479 -0.000000 0.249303
5107 479 -0.000000 0.249303
10096 479 -0.000000 0.249303
8261 479 -0.000000 0.249303
22937 479 -0.000000 0.249303
3939 479 -0.000000 0.249303
8612 479 -0.000000 0.249303
615 479 -0.000000 0.249303
15552 479 -0.000000 0.249303
8768 479 -0.000000 0.249303
11400 479 -0.000000 0.249303
7013 479 -0.000000 0.249303
2912 479 -0.000000 0.249303
20765 479 -0.000000 0.249303
17038 479 -0.000000 0.249303
16310 479 -0.000000 0.249303
3113 479 -0.000000 0.249303
624 479 -0.000000 0.249303
11861 479 -0.000000 0.249303
10055 479 -0.000000 0.249303
23939 479 -0.000000 0.249303
2250 479 -0.000000 0.249303
7717 479 -0.000000 0.249303
13714 479 -0.000000 0.249303
14767 479 -0.000000 0.249303
18971 479 -0.000000 0.249303
19216 479 -0.000000 0.249303
20534 479 -0.000000 0.249303
25205 479 -0.000000 0.249303
3909 479 -0.000000 0.249303
17330 479 -0.000000 0.249303
2115 479 -0.000000 0.249303
1186 479 -0.000000 0.249303
13597 479 -0.000000 0.249303
185 479 -0.000000 0.249303
215 479 -0.000000 0.249303
351 479 -0.000000 0.249303
1074 479 -0.000000 0.249303
1858 479 -0.000000 0.249303
4512 479 -0.000000 0.249303
6892 479 -0.000000 0.249303
8280 479 -0.000000 0.249303
14542 479 -0.000000 0.249303
17751 479 -0.000000 0.249303
18095 479 -0.000000 0.249303
18143 479 -0.000000 0.249303
18649 479 -0.000000 0.249303
18943 479 -0.000000 0.249303
19573 479 -0.000000 0.249303
22793 479 -0.000000 0.249303
21994 479 -0.000000 0.249303
16006 479 -0.000000 0.249303
5695 479 -0.000000 0.249303
5934 479 -0.000000 0.249303
15455 479 -0.000000 0.249303
24833 479 -0.000000 0.249303
2042 479 -0.000000 0.249303
2846 479 -0.000000 0.249303
13614 479 -0.000000 0.249303
21075 479 -0.000000 0.249303
19297 479 -0.000000 0.249303
25271 479 -0.000000 0.249303
23708 479 -0.000000 0.249303
3310 479 -0.000000 0.249303
17626 479 -0.000000 0.249303
16032 479 -0.000000 0.249303
12927 479 -0.000000 0.249303
5067 479 -0.000000 0.249303
6907 479 -0.000000 0.249303
9025 479 -0.000000 0.249303
13649 479 -0.000000 0.249303
25289 479 -0.000000 0.249303
3409 479 -0.000000 0.249303
13520 479 -0.000000 0.249303
19489 479 -0.000000 0.249303
22423 479 -0.000000 0.249303
19675 479 -0.000000 0.249303
593 479 -0.000000 0.249303
13831 479 -0.000000 0.249303
13404 479 -0.000000 0.249303
2072 479 -0.000000 0.249303
13384 479 -0.000000 0.249303
19992 479 -0.000000 0.249303
8045 479 -0.000000 0.249303
26038 479 -0.000000 0.249303
12118 479 -0.000000 0.249303
23967 479 -0.000000 0.249303
20850 479 -0.000000 0.249303
10130 479 -0.000000 0.249303
3231 479 -0.000000 0.249303
4773 479 -0.000000 0.249303
6411 479 -0.000000 0.249303
16352 479 -0.000000 0.249303
3839 479 -0.000000 0.249303
20774 479 -0.000000 0.249303
9829 479 -0.000000 0.249303
12212 479 -0.000000 0.249303
20879 479 -0.000000 0.249303
12842 479 -0.000000 0.249303
7264 479 -0.000000 0.249303
7985 479 -0.000000 0.249303
12453 479 -0.000000 0.249303
12587 479 -0.000000 0.249303
12627 479 -0.000000 0.249303
23896 479 -0.000000 0.249303
18940 479 -0.000000 0.249303
14430 479 -0.000000 0.249303
832 479 -0.000000 0.249303
3387 479 -0.000000 0.249303
4703 479 -0.000000 0.249303
7447 479 -0.000000 0.249303
9764 479 -0.000000 0.249303
10117 479 -0.000000 0.249303
14340 479 -0.000000 0.249303
14370 479 -0.000000 0.249303
15006 479 -0.000000 0.249303
16231 479 -0.000000 0.249303
16590 479 -0.000000 0.249303
16730 479 -0.000000 0.249303
19957 479 -0.000000 0.249303
21848 479 -0.000000 0.249303
22320 479 -0.000000 0.249303
3345 479 -0.000000 0.249303
23836 479 -0.000000 0.249303
12491 479 -0.000000 0.249303
11557 479 -0.000000 0.249303
10791 479 -0.000000 0.249303
6154 479 -0.000000 0.249303
22903 479 -0.000000 0.249303
25998 479 -0.000000 0.249303
18540 479 -0.000000 0.249303
5957 479 -0.000000 0.249303
2287 479 -0.000000 0.249303
10243 479 -0.000000 0.249303
5712 479 -0.000000 0.249303
14419 479 -0.000000 0.249303
25080 479 -0.000000 0.249303
11464 479 -0.000000 0.249303
17997 479 -0.000000 0.249303
14512 479 -0.000000 0.249303
8503 479 -0.000000 0.249303
15538 479 -0.000000 0.249303
6934 479 -0.000000 0.249303
1545 479 -0.000000 0.249303
18140 479 -0.000000 0.249303
11077 479 -0.000000 0.249303
18365 479 -0.000000 0.249303
23114 479 -0.000000 0.249303
14834 479 -0.000000 0.249303
5953 479 -0.000000 0.249303
17911 479 -0.000000 0.249303
17379 479 -0.000000 0.249303
23552 479 -0.000000 0.249303
10871 479 -0.000000 0.249303
15435 479 -0.000000 0.249303
200 479 -0.000000 0.249303
492 479 -0.000000 0.249303
6708 479 -0.000000 0.249303
8151 479 -0.000000 0.249303
9020 479 -0.000000 0.249303
9021 479 -0.000000 0.249303
9208 479 -0.000000 0.249303
9722 479 -0.000000 0.249303
16882 479 -0.000000 0.249303
17022 479 -0.000000 0.249303
19586 479 -0.000000 0.249303
19678 479 -0.000000 0.249303
24861 479 -0.000000 0.249303
10310 479 -0.000000 0.249303
16258 479 -0.000000 0.249303
21968 479 -0.000000 0.249303
5993 479 -0.000000 0.249303
15184 479 -0.000000 0.249303
25201 479 -0.000000 0.249303
10235 479 -0.000000 0.249303
7383 479 -0.000000 0.249303
5385 479 -0.000000 0.249303
14123 479 -0.000000 0.249303
482 479 -0.000000 0.249303
824 479 -0.000000 0.249303
4146 479 -0.000000 0.249303
13164 479 -0.000000 0.249303
16674 479 -0.000000 0.249303
7844 479 -0.000000 0.249303
11964 479 -0.000000 0.249303
18579 479 -0.000000 0.249303
345 479 -0.000000 0.249303
12334 479 -0.000000 0.249303
25286 479 -0.000000 0.249303
15144 479 -0.000000 0.249303
14661 479 -0.000000 0.249303
3716 479 -0.000000 0.249303
